1st,1stapperances,2nd,2nd apperances,ratio,distance
Shutdowns (Institutional),701,Children and Childhood,483,0.29787234,20
Coronavirus Reopenings,745,Shutdowns (Institutional),701,0.29787234,22
Vaccination and Immunization,667,Deaths (Fatalities),550,0.29787234,23
"Biden, Joseph R Jr",1772,Quarantine (Life and Culture),1509,0.29787234,24
Real Estate and Housing (Residential),1128,Television,663,0.29787234,30
Social Media,652,Women and Girls,647,0.296296296,12
Labor and Jobs,566,Disease Rates,426,0.296296296,12
"Trump, Donald J",3415,Social Media,652,0.296296296,13
United States,1391,Labor and Jobs,566,0.296296296,13
Democratic Party,1227,Quarantines,1073,0.296296296,13
Republican Party,1147,Quarantines,1073,0.296296296,13
"Biden, Joseph R Jr",1772,Epidemics,489,0.296296296,15
Books and Literature,778,Theater,437,0.296296296,16
Theater,437,Travel and Vacations,409,0.296296296,16
United States Economy,832,Senate,577,0.296296296,17
Senate,577,Content Type: Service,552,0.296296296,18
Content Type: Service,552,Movies,440,0.296296296,18
Presidential Election of 2020,2304,Shutdowns (Institutional),701,0.296296296,25
George Floyd Protests (2020),544,Computers and the Internet,536,0.296296296,25
Social Media,652,"Police Brutality, Misconduct and Shootings",401,0.296296296,34
Black Lives Matter Movement,453,"Demonstrations, Protests and Riots",442,0.295081967,27
United States International Relations,549,Polls and Public Opinion,404,0.295081967,29
United States Politics and Government,3830,House of Representatives,424,0.295081967,30
Deaths (Fatalities),550,"Police Brutality, Misconduct and Shootings",401,0.295081967,34
Women and Girls,647,Deaths (Fatalities),550,0.294117647,16
Coronavirus Reopenings,745,Social Media,652,0.294117647,17
Television,663,Polls and Public Opinion,404,0.294117647,19
Social Media,652,Children and Childhood,483,0.294117647,19
Black Lives Matter Movement,453,Theater,437,0.294117647,22
"Biden, Joseph R Jr",1772,Politics and Government,1118,0.292682927,19
Discrimination,612,Black Lives Matter Movement,453,0.292682927,21
"Trump, Donald J",3415,Computers and the Internet,536,0.292682927,22
United States,1391,Vaccination and Immunization,667,0.292682927,22
United States,1391,George Floyd Protests (2020),544,0.292682927,22
Presidential Election of 2020,2304,Social Media,652,0.292682927,23
George Floyd Protests (2020),544,Disease Rates,426,0.292682927,23
House of Representatives,424,Polls and Public Opinion,404,0.291666667,21
Books and Literature,778,George Floyd Protests (2020),544,0.291666667,22
Content Type: Service,552,Black Lives Matter Movement,453,0.291666667,22
Presidential Election of 2020,2304,Deaths (Fatalities),550,0.291666667,24
"Biden, Joseph R Jr",1772,Content Type: Personal Profile,673,0.291666667,24
George Floyd Protests (2020),544,Travel and Vacations,409,0.291666667,24
Real Estate and Housing (Residential),1128,Quarantines,1073,0.291666667,30
Presidential Election of 2020,2304,Computers and the Internet,536,0.290909091,25
Shutdowns (Institutional),701,Content Type: Personal Profile,673,0.290909091,25
Content Type: Service,552,"Demonstrations, Protests and Riots",442,0.290909091,26
Race and Ethnicity,688,United States International Relations,549,0.290909091,29
Disease Rates,426,"Police Brutality, Misconduct and Shootings",401,0.290909091,35
United States Politics and Government,3830,Shutdowns (Institutional),701,0.290322581,29
Research,588,Senate,577,0.285714286,6
Blacks,1167,Research,588,0.285714286,7
China,609,Parenting,456,0.285714286,7
Research,588,Movies,440,0.285714286,8
Quarantines,1073,Art,463,0.285714286,9
Social Media,652,Epidemics,489,0.285714286,10
Social Media,652,Parenting,456,0.285714286,11
Women and Girls,647,Disease Rates,426,0.285714286,11
New York City,1402,Women and Girls,647,0.285714286,12
United States,1391,Women and Girls,647,0.285714286,12
Women and Girls,647,Senate,577,0.285714286,12
Women and Girls,647,Movies,440,0.285714286,12
Black People,1167,Republican Party,1147,0.285714286,13
Republican Party,1147,Social Media,652,0.285714286,13
Republican Party,1147,China,609,0.285714286,13
Democratic Party,1227,Black People,1167,0.285714286,14
United States,1391,Coronavirus Reopenings,745,0.285714286,17
Republican Party,1147,Deaths (Fatalities),550,0.285714286,17
United States Economy,832,Discrimination,612,0.285714286,17
United States Economy,832,Theater,437,0.285714286,17
Books and Literature,778,Research,588,0.285714286,17
Content Type: Service,552,Theater,437,0.285714286,17
Deaths (Fatalities),550,Education (K-12),413,0.285714286,17
New York City,1402,Children and Childhood,483,0.285714286,18
Black People,1167,Politics and Government,1118,0.285714286,18
Politics and Government,1118,Social Media,652,0.285714286,18
Books and Literature,778,Children and Childhood,483,0.285714286,18
United States Economy,832,Cooking and Cookbooks,492,0.285714286,19
"Biden, Joseph R Jr",1772,House of Representatives,424,0.285714286,20
Shutdowns (Institutional),701,House of Representatives,424,0.285714286,20
Computers and the Internet,536,Parenting,456,0.285714286,21
United States Economy,832,George Floyd Protests (2020),544,0.285714286,22
Black People,1167,Content Type: Personal Profile,673,0.285714286,24
Content Type: Service,552,George Floyd Protests (2020),544,0.285714286,24
George Floyd Protests (2020),544,Cooking and Cookbooks,492,0.285714286,24
Content Type: Personal Profile,673,Deaths (Fatalities),550,0.285714286,25
"Trump, Donald J",3415,"Demonstrations, Protests and Riots",442,0.285714286,27
Real Estate and Housing (Residential),1128,Social Media,652,0.285714286,30
Social Media,652,United States International Relations,549,0.285714286,30
George Floyd Protests (2020),544,"Police Brutality, Misconduct and Shootings",401,0.285714286,34
Quarantine (Life and Culture),1509,George Floyd Protests (2020),544,0.280701754,26
Content Type: Personal Profile,673,Black Lives Matter Movement,453,0.280701754,26
Coronavirus Reopenings,745,Vaccination and Immunization,667,0.28,23
Coronavirus Reopenings,745,George Floyd Protests (2020),544,0.28,23
Quarantine (Life and Culture),1509,United States Economy,832,0.28,24
Republican Party,1147,"Demonstrations, Protests and Riots",442,0.28,27
United States Politics and Government,3830,Disease Rates,426,0.28,30
United States,1391,Real Estate and Housing (Residential),1128,0.28,31
Coronavirus (2019-nCoV),6554,Travel and Vacations,409,0.279069767,19
Content Type: Service,552,Children and Childhood,483,0.279069767,19
Coronavirus (2019-nCoV),6554,Books and Literature,778,0.279069767,20
United States Economy,832,Coronavirus Reopenings,745,0.279069767,20
Deaths (Fatalities),550,Polls and Public Opinion,404,0.279069767,20
Democratic Party,1227,Black Lives Matter Movement,453,0.279069767,23
Republican Party,1147,Black Lives Matter Movement,453,0.279069767,23
United States,1391,Content Type: Personal Profile,673,0.279069767,25
Senate,577,United States International Relations,549,0.279069767,31
Democratic Party,1227,Books and Literature,778,0.277777778,17
Democratic Party,1227,Travel and Vacations,409,0.277777778,17
Republican Party,1147,Books and Literature,778,0.277777778,17
United States,1391,Politics and Government,1118,0.277777778,18
Politics and Government,1118,Disease Rates,426,0.277777778,18
"Trump, Donald J",3415,Cooking and Cookbooks,492,0.277777778,19
Black People,1167,Polls and Public Opinion,404,0.277777778,19
Social Media,652,Polls and Public Opinion,404,0.277777778,19
Quarantines,1073,Shutdowns (Institutional),701,0.277777778,20
Parenting,456,Black Lives Matter Movement,453,0.277777778,23
United States Politics and Government,3830,George Floyd Protests (2020),544,0.276923077,31
"Trump, Donald J",3415,Discrimination,612,0.275862069,13
United States,1391,Democratic Party,1227,0.275862069,14
United States,1391,Republican Party,1147,0.275862069,14
your-feed-science,694,Social Media,652,0.275862069,14
Women and Girls,647,Discrimination,612,0.275862069,14
Television,663,Deaths (Fatalities),550,0.275862069,16
Research,588,Content Type: Service,552,0.275862069,17
Coronavirus (2019-nCoV),6554,Movies,440,0.275862069,19
Presidential Election of 2020,2304,Quarantine (Life and Culture),1509,0.275862069,25
Content Type: Personal Profile,673,Vaccination and Immunization,667,0.275862069,27
United States Politics and Government,3830,Cooking and Cookbooks,492,0.275862069,29
Real Estate and Housing (Residential),1128,Content Type: Service,552,0.275862069,30
Content Type: Personal Profile,673,Cooking and Cookbooks,492,0.274509804,23
Black Lives Matter Movement,453,Polls and Public Opinion,404,0.274509804,23
Politics and Government,1118,George Floyd Protests (2020),544,0.274509804,24
Presidential Election of 2020,2304,Coronavirus Reopenings,745,0.274509804,26
United States Politics and Government,3830,Discrimination,612,0.274509804,30
Labor and Jobs,566,United States International Relations,549,0.274509804,30
Parenting,456,"Police Brutality, Misconduct and Shootings",401,0.274509804,35
Black People,1167,Television,663,0.272727273,11
Television,663,Social Media,652,0.272727273,11
Epidemics,489,Disease Rates,426,0.272727273,11
Parenting,456,Disease Rates,426,0.272727273,11
Women and Girls,647,Theater,437,0.272727273,12
Democratic Party,1227,Senate,577,0.272727273,13
Coronavirus (2019-nCoV),6554,United States Economy,832,0.272727273,21
"Biden, Joseph R Jr",1772,Computers and the Internet,536,0.272727273,21
Coronavirus Reopenings,745,Children and Childhood,483,0.272727273,21
Republican Party,1147,Vaccination and Immunization,667,0.272727273,23
George Floyd Protests (2020),544,Education (K-12),413,0.272727273,23
Republican Party,1147,George Floyd Protests (2020),544,0.272727273,24
Democratic Party,1227,United States Economy,832,0.27027027,16
Books and Literature,778,your-feed-science,694,0.27027027,16
Republican Party,1147,United States Economy,832,0.27027027,18
United States Economy,832,Education (K-12),413,0.27027027,18
Coronavirus (2019-nCoV),6554,Labor and Jobs,566,0.27027027,19
"Trump, Donald J",3415,Coronavirus Reopenings,745,0.27027027,19
"Trump, Donald J",3415,Children and Childhood,483,0.27027027,19
Coronavirus (2019-nCoV),6554,Discrimination,612,0.27027027,20
New York City,1402,House of Representatives,424,0.27027027,20
Shutdowns (Institutional),701,Social Media,652,0.27027027,21
Vaccination and Immunization,667,Parenting,456,0.27027027,23
Television,663,Black Lives Matter Movement,453,0.27027027,23
Presidential Election of 2020,2304,Research,588,0.27027027,24
Vaccination and Immunization,667,House of Representatives,424,0.269230769,23
Coronavirus (2019-nCoV),6554,Presidential Election of 2020,2304,0.269230769,26
Women and Girls,647,United States International Relations,549,0.269230769,30
Shutdowns (Institutional),701,"Police Brutality, Misconduct and Shootings",401,0.268656716,36
Blacks,1167,Epidemics,489,0.266666667,8
Television,663,China,609,0.266666667,9
Democratic Party,1227,Labor and Jobs,566,0.266666667,13
Republican Party,1147,Labor and Jobs,566,0.266666667,13
Race and Ethnicity,688,Social Media,652,0.266666667,14
"Biden, Joseph R Jr",1772,Black People,1167,0.266666667,15
your-feed-science,694,Disease Rates,426,0.266666667,15
Labor and Jobs,566,Education (K-12),413,0.266666667,15
United States Economy,832,Epidemics,489,0.266666667,17
Content Type: Service,552,Epidemics,489,0.266666667,17
Content Type: Service,552,Parenting,456,0.266666667,17
United States Economy,832,Polls and Public Opinion,404,0.266666667,20
Shutdowns (Institutional),701,Travel and Vacations,409,0.266666667,20
Movies,440,House of Representatives,424,0.266666667,20
Shutdowns (Institutional),701,China,609,0.266666667,21
"Biden, Joseph R Jr",1772,Black Lives Matter Movement,453,0.266666667,23
Quarantine (Life and Culture),1509,Republican Party,1147,0.266666667,24
Quarantine (Life and Culture),1509,Polls and Public Opinion,404,0.264150943,26
United States International Relations,549,Education (K-12),413,0.264150943,30
Republican Party,1147,Real Estate and Housing (Residential),1128,0.264150943,31
"Biden, Joseph R Jr",1772,Travel and Vacations,409,0.263157895,19
Democratic Party,1227,Coronavirus Reopenings,745,0.263157895,19
United States Economy,832,your-feed-science,694,0.263157895,19
Republican Party,1147,Coronavirus Reopenings,745,0.263157895,20
Coronavirus (2019-nCoV),6554,"Trump, Donald J",3415,0.263157895,21
United States,1391,Shutdowns (Institutional),701,0.263157895,21
Presidential Election of 2020,2304,Epidemics,489,0.263157895,24
Television,663,Disease Rates,426,0.260869565,11
Labor and Jobs,566,Parenting,456,0.260869565,11
United States,1391,Television,663,0.260869565,12
Women and Girls,647,Research,588,0.260869565,12
Discrimination,612,Epidemics,489,0.260869565,12
Republican Party,1147,Theater,437,0.260869565,14
your-feed-science,694,Movies,440,0.260869565,14
your-feed-science,694,Senate,577,0.260869565,15
Coronavirus (2019-nCoV),6554,Politics and Government,1118,0.260869565,21
"Biden, Joseph R Jr",1772,George Floyd Protests (2020),544,0.260869565,23
Race and Ethnicity,688,George Floyd Protests (2020),544,0.260869565,23
Democratic Party,1227,Content Type: Personal Profile,673,0.260869565,25
Republican Party,1147,Content Type: Personal Profile,673,0.260869565,25
Social Media,652,"Demonstrations, Protests and Riots",442,0.260869565,28
United States Politics and Government,3830,Epidemics,489,0.260869565,31
Real Estate and Housing (Residential),1128,Parenting,456,0.260869565,31
United States International Relations,549,Parenting,456,0.260869565,31
United States Politics and Government,3830,Parenting,456,0.260869565,32
Content Type: Personal Profile,673,Polls and Public Opinion,404,0.259259259,24
Real Estate and Housing (Residential),1128,your-feed-science,694,0.259259259,31
United States Politics and Government,3830,your-feed-science,694,0.259259259,32
Democratic Party,1227,Women and Girls,647,0.258064516,12
"Trump, Donald J",3415,Education (K-12),413,0.258064516,14
"Biden, Joseph R Jr",1772,New York City,1402,0.258064516,14
Black People,1167,Deaths (Fatalities),550,0.258064516,15
your-feed-science,694,Discrimination,612,0.258064516,15
"Trump, Donald J",3415,Democratic Party,1227,0.258064516,16
"Biden, Joseph R Jr",1772,United States,1391,0.258064516,16
your-feed-science,694,Labor and Jobs,566,0.258064516,16
Coronavirus Reopenings,745,Epidemics,489,0.258064516,18
Epidemics,489,Children and Childhood,483,0.258064516,18
Children and Childhood,483,Parenting,456,0.258064516,18
Theater,437,House of Representatives,424,0.258064516,20
Books and Literature,778,"Police Brutality, Misconduct and Shootings",401,0.258064516,35
Race and Ethnicity,688,Cooking and Cookbooks,492,0.256410256,16
"Biden, Joseph R Jr",1772,United States Economy,832,0.256410256,18
Race and Ethnicity,688,Content Type: Service,552,0.256410256,18
"Biden, Joseph R Jr",1772,Cooking and Cookbooks,492,0.256410256,19
Coronavirus (2019-nCoV),6554,Democratic Party,1227,0.256410256,20
"Trump, Donald J",3415,House of Representatives,424,0.256410256,20
Coronavirus (2019-nCoV),6554,Polls and Public Opinion,404,0.255319149,20
Coronavirus (2019-nCoV),6554,House of Representatives,424,0.255319149,23
Presidential Election of 2020,2304,Race and Ethnicity,688,0.255319149,24
your-feed-science,694,Content Type: Personal Profile,673,0.255319149,26
New York City,1402,"Demonstrations, Protests and Riots",442,0.255319149,28
United States Politics and Government,3830,Television,663,0.255319149,31
Television,663,United States International Relations,549,0.255319149,31
"Biden, Joseph R Jr",1772,Real Estate and Housing (Residential),1128,0.254545455,30
"Biden, Joseph R Jr",1772,United States International Relations,549,0.254545455,31
United States,1391,"Police Brutality, Misconduct and Shootings",401,0.254545455,35
Content Type: Service,552,"Police Brutality, Misconduct and Shootings",401,0.253968254,35
Parenting,456,Theater,437,0.25,7
Blacks,1167,Television,663,0.25,8
Quarantines,1073,China,609,0.25,9
Television,663,Senate,577,0.25,9
New York City,1402,Art,463,0.25,11
Black People,1167,Social Media,652,0.25,11
Women and Girls,647,Epidemics,489,0.25,12
Women and Girls,647,Parenting,456,0.25,12
Democratic Party,1227,Research,588,0.25,13
your-feed-science,694,Women and Girls,647,0.25,14
"Biden, Joseph R Jr",1772,Senate,577,0.25,15
New York City,1402,Deaths (Fatalities),550,0.25,15
Race and Ethnicity,688,Senate,577,0.25,15
Race and Ethnicity,688,Discrimination,612,0.25,16
"Biden, Joseph R Jr",1772,Movies,440,0.25,17
Black People,1167,Travel and Vacations,409,0.25,17
Politics and Government,1118,your-feed-science,694,0.25,18
Quarantines,1073,United States Economy,832,0.25,18
Quarantines,1073,Content Type: Service,552,0.25,18
Television,663,Children and Childhood,483,0.25,18
Coronavirus (2019-nCoV),6554,Parenting,456,0.25,19
Politics and Government,1118,Epidemics,489,0.25,19
Content Type: Service,552,Deaths (Fatalities),550,0.25,19
Democratic Party,1227,Polls and Public Opinion,404,0.25,20
Politics and Government,1118,Shutdowns (Institutional),701,0.25,22
Senate,577,Computers and the Internet,536,0.25,22
Cooking and Cookbooks,492,Black Lives Matter Movement,453,0.25,22
New York City,1402,Black Lives Matter Movement,453,0.25,24
Black People,1167,George Floyd Protests (2020),544,0.25,24
Presidential Election of 2020,2304,Quarantines,1073,0.25,25
Senate,577,"Demonstrations, Protests and Riots",442,0.25,29
United States International Relations,549,George Floyd Protests (2020),544,0.246153846,32
Coronavirus (2019-nCoV),6554,"Police Brutality, Misconduct and Shootings",401,0.246153846,35
Coronavirus (2019-nCoV),6554,Computers and the Internet,536,0.244897959,22
Vaccination and Immunization,667,Content Type: Service,552,0.244897959,24
Children and Childhood,483,Black Lives Matter Movement,453,0.244897959,24
United States Politics and Government,3830,Social Media,652,0.244897959,31
Black People,1167,United States International Relations,549,0.244897959,31
United States Politics and Government,3830,Black People,1167,0.244897959,32
Coronavirus Reopenings,745,Deaths (Fatalities),550,0.243902439,19
your-feed-science,694,Polls and Public Opinion,404,0.243902439,20
Labor and Jobs,566,Black Lives Matter Movement,453,0.243902439,22
New York City,1402,George Floyd Protests (2020),544,0.243902439,23
Vaccination and Immunization,667,Disease Rates,426,0.243902439,23
Quarantine (Life and Culture),1509,Black People,1167,0.243902439,24
Quarantines,1073,Content Type: Personal Profile,673,0.243902439,26
Labor and Jobs,566,Deaths (Fatalities),550,0.242424242,15
"Trump, Donald J",3415,Race and Ethnicity,688,0.242424242,16
your-feed-science,694,Education (K-12),413,0.242424242,16
New York City,1402,Travel and Vacations,409,0.242424242,17
Democratic Party,1227,your-feed-science,694,0.242424242,17
Social Media,652,Content Type: Service,552,0.242424242,17
Social Media,652,Cooking and Cookbooks,492,0.242424242,17
Quarantines,1073,Children and Childhood,483,0.242424242,18
Coronavirus (2019-nCoV),6554,Television,663,0.242424242,19
United States Economy,832,Social Media,652,0.242424242,19
Epidemics,489,House of Representatives,424,0.242424242,20
Senate,577,Black Lives Matter Movement,453,0.242424242,23
Black Lives Matter Movement,453,Movies,440,0.242424242,23
Real Estate and Housing (Residential),1128,Cooking and Cookbooks,492,0.24137931,30
United States International Relations,549,Cooking and Cookbooks,492,0.24137931,31
Education (K-12),413,"Police Brutality, Misconduct and Shootings",401,0.24137931,35
"Trump, Donald J",3415,Television,663,0.24,12
New York City,1402,Social Media,652,0.24,12
Black People,1167,Disease Rates,426,0.24,12
Television,663,Women and Girls,647,0.24,13
Republican Party,1147,Epidemics,489,0.24,14
Epidemics,489,Education (K-12),413,0.24,14
"Biden, Joseph R Jr",1772,Theater,437,0.24,15
Race and Ethnicity,688,Theater,437,0.24,15
Deaths (Fatalities),550,Movies,440,0.24,16
Presidential Election of 2020,2304,Content Type: Service,552,0.24,24
Presidential Election of 2020,2304,Cooking and Cookbooks,492,0.24,24
Content Type: Personal Profile,673,Travel and Vacations,409,0.24,25
George Floyd Protests (2020),544,Children and Childhood,483,0.24,26
"Demonstrations, Protests and Riots",442,Education (K-12),413,0.24,28
New York City,1402,Real Estate and Housing (Residential),1128,0.24,31
Content Type: Service,552,Cooking and Cookbooks,492,0.238095238,17
Coronavirus (2019-nCoV),6554,Deaths (Fatalities),550,0.238095238,19
Politics and Government,1118,Deaths (Fatalities),550,0.238095238,19
Race and Ethnicity,688,House of Representatives,424,0.238095238,20
Shutdowns (Institutional),701,your-feed-science,694,0.238095238,21
Presidential Election of 2020,2304,Disease Rates,426,0.238095238,24
Presidential Election of 2020,2304,United States,1391,0.238095238,25
Quarantine (Life and Culture),1509,New York City,1402,0.238095238,25
Content Type: Personal Profile,673,Social Media,652,0.238095238,25
Research,588,Epidemics,489,0.235294118,7
Research,588,Parenting,456,0.235294118,8
Blacks,1167,Quarantines,1073,0.235294118,9
Social Media,652,China,609,0.235294118,10
Discrimination,612,Art,463,0.235294118,12
Books and Literature,778,Discrimination,612,0.235294118,16
"Biden, Joseph R Jr",1772,Democratic Party,1227,0.235294118,17
"Biden, Joseph R Jr",1772,Republican Party,1147,0.235294118,17
New York City,1402,United States Economy,832,0.235294118,17
New York City,1402,Content Type: Service,552,0.235294118,17
United States,1391,Cooking and Cookbooks,492,0.235294118,17
Race and Ethnicity,688,Education (K-12),413,0.235294118,17
Cooking and Cookbooks,492,Disease Rates,426,0.235294118,17
New York City,1402,Cooking and Cookbooks,492,0.235294118,18
Content Type: Service,552,Disease Rates,426,0.235294118,18
Black People,1167,Children and Childhood,483,0.235294118,19
Politics and Government,1118,Quarantines,1073,0.235294118,19
Coronavirus (2019-nCoV),6554,Quarantines,1073,0.235294118,20
Television,663,House of Representatives,424,0.235294118,20
Shutdowns (Institutional),701,Parenting,456,0.235294118,21
Research,588,Computers and the Internet,536,0.235294118,22
Coronavirus (2019-nCoV),6554,Vaccination and Immunization,667,0.235294118,24
Quarantine (Life and Culture),1509,Coronavirus Reopenings,745,0.235294118,25
Real Estate and Housing (Residential),1128,Discrimination,612,0.235294118,32
Coronavirus (2019-nCoV),6554,Real Estate and Housing (Residential),1128,0.233333333,30
Coronavirus (2019-nCoV),6554,United States Politics and Government,3830,0.233333333,32
"Biden, Joseph R Jr",1772,"Police Brutality, Misconduct and Shootings",401,0.233333333,35
Shutdowns (Institutional),701,Race and Ethnicity,688,0.23255814,21
"Trump, Donald J",3415,Vaccination and Immunization,667,0.23255814,23
Black Lives Matter Movement,453,Education (K-12),413,0.23255814,23
"Trump, Donald J",3415,George Floyd Protests (2020),544,0.23255814,24
Quarantine (Life and Culture),1509,Discrimination,612,0.23255814,25
New York City,1402,Content Type: Personal Profile,673,0.23255814,25
Presidential Election of 2020,2304,Labor and Jobs,566,0.23255814,26
Content Type: Personal Profile,673,Disease Rates,426,0.23255814,26
Parenting,456,"Demonstrations, Protests and Riots",442,0.23255814,29
New York City,1402,Disease Rates,426,0.230769231,12
Social Media,652,Labor and Jobs,566,0.230769231,12
New York City,1402,United States,1391,0.230769231,13
Black People,1167,Labor and Jobs,566,0.230769231,13
your-feed-science,694,Epidemics,489,0.230769231,14
Television,663,Education (K-12),413,0.230769231,14
Books and Literature,778,Movies,440,0.230769231,17
Movies,440,Travel and Vacations,409,0.230769231,17
Blacks,1167,Books and Literature,778,0.230769231,18
George Floyd Protests (2020),544,Polls and Public Opinion,404,0.230769231,23
Shutdowns (Institutional),701,Black Lives Matter Movement,453,0.230769231,25
"Trump, Donald J",3415,United States International Relations,549,0.230769231,32
Television,663,"Police Brutality, Misconduct and Shootings",401,0.230769231,36
United States Economy,832,Labor and Jobs,566,0.228571429,17
your-feed-science,694,Race and Ethnicity,688,0.228571429,17
"Trump, Donald J",3415,Books and Literature,778,0.228571429,18
"Biden, Joseph R Jr",1772,your-feed-science,694,0.228571429,18
United States,1391,Children and Childhood,483,0.228571429,18
Children and Childhood,483,Disease Rates,426,0.228571429,18
New York City,1402,Coronavirus Reopenings,745,0.228571429,19
Discrimination,612,Cooking and Cookbooks,492,0.228571429,19
Quarantines,1073,Polls and Public Opinion,404,0.228571429,20
Shutdowns (Institutional),701,Television,663,0.228571429,21
Research,588,Black Lives Matter Movement,453,0.228571429,23
Presidential Election of 2020,2304,Senate,577,0.228571429,25
Quarantine (Life and Culture),1509,Senate,577,0.228571429,25
Coronavirus (2019-nCoV),6554,Content Type: Service,552,0.227272727,20
"Trump, Donald J",3415,Presidential Election of 2020,2304,0.227272727,24
"Trump, Donald J",3415,Quarantine (Life and Culture),1509,0.227272727,24
Presidential Election of 2020,2304,Women and Girls,647,0.227272727,25
Content Type: Personal Profile,673,Labor and Jobs,566,0.227272727,26
Television,663,"Demonstrations, Protests and Riots",442,0.227272727,29
United States Politics and Government,3830,Theater,437,0.227272727,32
United States International Relations,549,Theater,437,0.227272727,32
Shutdowns (Institutional),701,George Floyd Protests (2020),544,0.226415094,25
United States Politics and Government,3830,Education (K-12),413,0.226415094,31
Democratic Party,1227,Real Estate and Housing (Residential),1128,0.226415094,31
Republican Party,1147,United States International Relations,549,0.226415094,32
Senate,577,Art,463,0.222222222,5
Television,663,Research,588,0.222222222,8
Epidemics,489,Parenting,456,0.222222222,8
Black People,1167,Senate,577,0.222222222,10
United States,1391,China,609,0.222222222,11
Black People,1167,Movies,440,0.222222222,11
Blacks,1167,Social Media,652,0.222222222,11
New York City,1402,China,609,0.222222222,12
United States,1391,Discrimination,612,0.222222222,12
China,609,Disease Rates,426,0.222222222,12
"Trump, Donald J",3415,Black People,1167,0.222222222,13
New York City,1402,Discrimination,612,0.222222222,13
New York City,1402,Labor and Jobs,566,0.222222222,13
Black People,1167,Women and Girls,647,0.222222222,13
Race and Ethnicity,688,Epidemics,489,0.222222222,15
Research,588,Deaths (Fatalities),550,0.222222222,16
"Biden, Joseph R Jr",1772,Race and Ethnicity,688,0.222222222,17
United States Economy,832,Women and Girls,647,0.222222222,17
Blacks,1167,Cooking and Cookbooks,492,0.222222222,18
your-feed-science,694,Deaths (Fatalities),550,0.222222222,18
Cooking and Cookbooks,492,Movies,440,0.222222222,18
United States Economy,832,Movies,440,0.222222222,19
Coronavirus Reopenings,745,China,609,0.222222222,19
Content Type: Service,552,Polls and Public Opinion,404,0.222222222,19
Coronavirus (2019-nCoV),6554,New York City,1402,0.222222222,20
New York City,1402,Politics and Government,1118,0.222222222,20
Social Media,652,House of Representatives,424,0.222222222,20
Black People,1167,House of Representatives,424,0.222222222,21
Cooking and Cookbooks,492,House of Representatives,424,0.222222222,21
Presidential Election of 2020,2304,Democratic Party,1227,0.222222222,24
Presidential Election of 2020,2304,Republican Party,1147,0.222222222,24
Quarantine (Life and Culture),1509,Theater,437,0.222222222,25
your-feed-science,694,George Floyd Protests (2020),544,0.222222222,25
Content Type: Personal Profile,673,Senate,577,0.222222222,26
Real Estate and Housing (Residential),1128,Research,588,0.222222222,32
your-feed-science,694,United States International Relations,549,0.222222222,32
George Floyd Protests (2020),544,Black Lives Matter Movement,453,0.218181818,24
New York City,1402,"Police Brutality, Misconduct and Shootings",401,0.218181818,37
Shutdowns (Institutional),701,Cooking and Cookbooks,492,0.217391304,21
Shutdowns (Institutional),701,Content Type: Service,552,0.217391304,22
Children and Childhood,483,House of Representatives,424,0.217391304,23
"Biden, Joseph R Jr",1772,Vaccination and Immunization,667,0.217391304,25
Black People,1167,"Demonstrations, Protests and Riots",442,0.217391304,30
Real Estate and Housing (Residential),1128,Epidemics,489,0.217391304,32
United States International Relations,549,Epidemics,489,0.217391304,32
Democratic Party,1227,Content Type: Service,552,0.216216216,18
Republican Party,1147,Content Type: Service,552,0.216216216,18
Republican Party,1147,Cooking and Cookbooks,492,0.216216216,18
Democratic Party,1227,Cooking and Cookbooks,492,0.216216216,20
Vaccination and Immunization,667,Epidemics,489,0.216216216,24
Quarantine (Life and Culture),1509,Research,588,0.216216216,25
George Floyd Protests (2020),544,Parenting,456,0.216216216,25
Content Type: Personal Profile,673,Theater,437,0.216216216,26
Discrimination,612,Labor and Jobs,566,0.214285714,12
"Trump, Donald J",3415,United States,1391,0.214285714,13
Social Media,652,Education (K-12),413,0.214285714,13
"Trump, Donald J",3415,New York City,1402,0.214285714,14
"Trump, Donald J",3415,Disease Rates,426,0.214285714,14
Race and Ethnicity,688,Television,663,0.214285714,15
Deaths (Fatalities),550,Parenting,456,0.214285714,16
Research,588,Travel and Vacations,409,0.214285714,17
Deaths (Fatalities),550,Epidemics,489,0.214285714,17
Coronavirus Reopenings,745,Senate,577,0.214285714,19
Senate,577,Children and Childhood,483,0.214285714,19
Coronavirus (2019-nCoV),6554,China,609,0.214285714,20
Presidential Election of 2020,2304,Black Lives Matter Movement,453,0.214285714,26
Quarantines,1073,Research,588,0.210526316,10
Social Media,652,Theater,437,0.210526316,10
New York City,1402,Senate,577,0.210526316,11
New York City,1402,Movies,440,0.210526316,11
United States,1391,Blacks,1167,0.210526316,11
Black People,1167,Theater,437,0.210526316,11
Blacks,1167,Disease Rates,426,0.210526316,11
Democratic Party,1227,Art,463,0.210526316,14
Republican Party,1147,Art,463,0.210526316,14
Republican Party,1147,Children and Childhood,483,0.210526316,19
Coronavirus Reopenings,745,Education (K-12),413,0.210526316,19
Labor and Jobs,566,House of Representatives,424,0.210526316,20
Children and Childhood,483,Education (K-12),413,0.210526316,20
"Trump, Donald J",3415,Politics and Government,1118,0.210526316,21
New York City,1402,Shutdowns (Institutional),701,0.210526316,21
